date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:38:49	65228/65228	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:49%20GMT	https://cwiki.apache.org/confluence/display/Hive/Bylaws	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Bylaws.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:49	50796/50796	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:49%20GMT	https://cwiki.apache.org/confluence/display/Hive/CSV+Serde	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/CSV+Serde.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:50	55900/55900	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:50%20GMT	https://cwiki.apache.org/confluence/display/Hive/Dependent+Tables	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Dependent+Tables.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:50	47927/47927	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:50%20GMT	https://cwiki.apache.org/confluence/display/Hive/DeveloperDocs	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/DeveloperDocs.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:51	98193/98193	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:51%20GMT	https://cwiki.apache.org/confluence/display/Hive/Druid+Integration	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Druid+Integration.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:51	57849/57849	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:51%20GMT	https://cwiki.apache.org/confluence/display/Hive/Fix+Hive+Unit+Tests+on+Hadoop+2+-+HIVE-3949	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Fix+Hive+Unit+Tests+on+Hadoop+2+-+HIVE-3949.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:52	49381/49381	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:52%20GMT	https://cwiki.apache.org/confluence/display/Hive/Hadoop-compatible+Input-Output+Format+for+Hive	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Hadoop-compatible+Input-Output+Format+for+Hive.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:52	71769/71769	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:52%20GMT	https://cwiki.apache.org/confluence/display/Hive/Hive+0.13+release+status	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Hive+0.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:53	48370/48370	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:53%20GMT	https://cwiki.apache.org/confluence/display/Hive/Hive+0.14+release+status	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Hive+0-2.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:53	66847/66847	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:53%20GMT	https://cwiki.apache.org/confluence/display/Hive/Hive+1.2+Release+Status	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Hive+1.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:54	57431/57431	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:54%20GMT	https://cwiki.apache.org/confluence/display/Hive/HiveAmazonElasticMapReduce	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/HiveAmazonElasticMapReduce.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:54	56827/56827	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:54%20GMT	https://cwiki.apache.org/confluence/display/Hive/Hive+APIs+Overview	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/Hive+APIs+Overview.html	(from https://cwiki.apache.org/confluence/display/Hive)
03:38:55	57079/57079	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2019:38:55%20GMT	https://cwiki.apache.org/confluence/display/Hive/HiveAwsEmr	C:/My%20Web%20Sites/hive/cwiki.apache.org/confluence/display/Hive/HiveAwsEmr.html	(from https://cwiki.apache.org/confluence/display/Hive)
